secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
51,98,0,0.58408,38.1168,0,512,16.8,12.60538627,56.03737646,0,3.04,24,0,48,0,0,0,0,0,0,0,0
52,96,0,0.59473,37.296,0,500,17.2,12.60521486,56.03737621,0,3.43,24,0,50,0,0,0,0,0,0,0,0
53,94,0,0.60501,36.738,0,497,17.8,12.60505024,56.03737260,0,3.8,24,0,50,0,0,0,0,0,0,0,0
54,91,0,0.61464,36.2736,0,470,18.4,12.60489584,56.03737260,0,4.1,24,0,49,0,0,0,0,0,0,0,0
55,97,0,0.62427,35.1288,0,483,18.8,12.60474170,56.03737260,0,4.35,24,0,49,0,0,0,0,0,0,0,0
56,97,0,0.63393,35.082,0,513,19.4,12.60458605,56.03737260,0,4.53,24,0,50,0,0,0,0,0,0,0,0
57,95,0,0.64319,34.5204,0,530,20,12.60443811,56.03737277,0,4.65,24,0,49,0,0,0,0,0,0,0,0
58,94,0,0.65269,34.308,0,517,20.6,12.60428564,56.03737662,0,4.75,24,0,49,0,0,0,0,0,0,0,0
59,93,0,0.66199,34.938,0,518,21.2,12.60413644,56.03737998,0,4.86,24,0,50,0,0,0,0,0,0,0,0
60,91,0,0.66903,32.4792,0,499,21.8,12.60402321,56.03737662,0,5,24,0,49,0,0,0,0,0,0,0,0
61,89,0,0.67774,30.6684,0,515,22.4,12.60388423,56.03738107,0,5.12,24,0,49,0,0,0,0,0,0,0,0
62,90,0,0.68784,30.708,0,531,22.8,12.60372422,56.03739381,0,5.22,24,0,50,0,0,0,0,0,0,0,0
63,91,0,0.6963,31.1868,0,508,23.4,12.60359640,56.03741971,0,5.27,24,0,50,0,0,0,0,0,0,0,0
64,92,0,0.70522,32.5692,0,489,23.8,12.60346690,56.03745432,0,5.25,24,0,50,0,0,0,0,0,0,0,0
65,94,0,0.71437,32.562,0,490,24.2,12.60333899,56.03749665,0,5.17,24,0,49,0,0,0,0,0,0,0,0
66,93,0,0.72372,32.3712,0,487,24.6,12.60321125,56.03753932,0,5.04,24,0,50,0,0,0,0,0,0,0,0
67,95,0,0.73245,32.3712,0,487,25,12.60308963,56.03757636,0,4.87,24,0,49,0,0,0,0,0,0,0,0
68,95,0,0.74178,32.3712,0,476,25.4,12.60295577,56.03761517,0,4.67,24,0,50,0,0,0,0,0,0,0,0
69,98,0,0.74914,32.3712,0,473,25.8,12.60285133,56.03764602,0,4.45,24,0,50,0,0,0,0,0,0,0,0
70,100,0,0.75886,32.526,0,485,26.2,12.60271303,56.03768524,0,4.26,24,0,51,0,0,0,0,0,0,0,0
71,97,0,0.77024,34.6176,0,472,26.4,12.60254992,56.03773386,0,4.05,24,0,51,0,0,0,0,0,0,0,0
72,97,0,0.78017,35.8344,0,446,26.6,12.60240701,56.03777141,0,3.78,24,0,50,0,0,0,0,0,0,0,0
